n	features	TSS	database	col1	col2
1	TSS coverage	chr16:53207450:53209451:+:CHD9,CHD9,CHD9;NM_001352158.3,NM_001382354.1,NM_001382355.1;mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr16:53207450:53209451:+:CHD9,CHD9,CHD9;NM_001352158.3,NM_001382354.1,NM_001382355.1;mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr20:58888179:58890180:+:GNAS,GNAS,GNAS,GNAS,GNAS,GNAS,GNAS,GNAS,GNAS;NM_001309840.2,XM_017027817.2,XM_017027819.2,XM_024451875.2,XM_047440117.1,XM_047440118.1,XM_047440120.1,XM_047440121.1,XM_047440125.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr20:58888179:58890180:+:GNAS,GNAS,GNAS,GNAS,GNAS,GNAS,GNAS,GNAS,GNAS;NM_001309840.2,XM_017027817.2,XM_017027819.2,XM_024451875.2,XM_047440117.1,XM_047440118.1,XM_047440120.1,XM_047440121.1,XM_047440125.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr20:58888179:58890180:+:GNAS,GNAS,GNAS,GNAS,GNAS,GNAS,GNAS,GNAS,GNAS;NM_001309840.2,XM_017027817.2,XM_017027819.2,XM_024451875.2,XM_047440117.1,XM_047440118.1,XM_047440120.1,XM_047440121.1,XM_047440125.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr4:122206192:122208193:+:KIAA1109;XM_011532330.2;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr4:122206192:122208193:+:KIAA1109;XM_011532330.2;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr4:122206192:122208193:+:KIAA1109;XM_011532330.2;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr1:84180636:84182637:+:PRKACB;NM_001242862.3;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr1:84180636:84182637:+:PRKACB;NM_001242862.3;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr1:84180636:84182637:+:PRKACB;NM_001242862.3;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr16:69625425:69627426:+:NFAT5;XM_011522822.4;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr16:69625425:69627426:+:NFAT5;XM_011522822.4;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr16:69625425:69627426:+:NFAT5;XM_011522822.4;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr7:80632331:80634332:+:CD36;XM_047421048.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr7:80632331:80634332:+:CD36;XM_047421048.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr7:80632331:80634332:+:CD36;XM_047421048.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr4:105911174:105913175:+:NPNT;XM_047449986.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr4:105911174:105913175:+:NPNT;XM_047449986.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr4:105911174:105913175:+:NPNT;XM_047449986.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr16:69625435:69627436:+:NFAT5,NFAT5;XM_011522820.4,XM_047433511.1;mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr16:69625435:69627436:+:NFAT5,NFAT5;XM_011522820.4,XM_047433511.1;mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr16:69625435:69627436:+:NFAT5,NFAT5;XM_011522820.4,XM_047433511.1;mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr2:207575630:207577631:+:CREB1;XM_017003401.3;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr2:207575630:207577631:+:CREB1;XM_017003401.3;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr2:207575630:207577631:+:CREB1;XM_017003401.3;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr20:34390930:34392931:+:ITCH;XM_017028089.2;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr20:34390930:34392931:+:ITCH;XM_017028089.2;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr20:34390930:34392931:+:ITCH;XM_017028089.2;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr20:34390936:34392937:+:ITCH;XM_047440532.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr20:34390936:34392937:+:ITCH;XM_047440532.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr20:34390936:34392937:+:ITCH;XM_047440532.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr7:80637515:80639516:+:CD36,CD36,CD36;NM_000072.3,XM_005250715.6,XM_024447002.2;mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr7:80637515:80639516:+:CD36,CD36,CD36;NM_000072.3,XM_005250715.6,XM_024447002.2;mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr7:80637515:80639516:+:CD36,CD36,CD36;NM_000072.3,XM_005250715.6,XM_024447002.2;mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr5:88903104:88905105:-:MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C;NM_001131005.2,NM_001193347.1,XM_011543396.4,XM_017009478.3,XM_047417181.1,XM_047417182.1,XM_047417190.1,XM_047417191.1,XM_047417192.1,XM_047417196.1,XM_047417202.1,XM_047417203.1,XM_047417204.1,XM_047417205.1,XM_047417206.1,XM_047417207.1,XM_047417208.1,XM_047417210.1,XM_047417211.1,XM_047417213.1,XM_047417214.1,XM_047417216.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr5:88903104:88905105:-:MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C;NM_001131005.2,NM_001193347.1,XM_011543396.4,XM_017009478.3,XM_047417181.1,XM_047417182.1,XM_047417190.1,XM_047417191.1,XM_047417192.1,XM_047417196.1,XM_047417202.1,XM_047417203.1,XM_047417204.1,XM_047417205.1,XM_047417206.1,XM_047417207.1,XM_047417208.1,XM_047417210.1,XM_047417211.1,XM_047417213.1,XM_047417214.1,XM_047417216.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr5:88903104:88905105:-:MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C,MEF2C;NM_001131005.2,NM_001193347.1,XM_011543396.4,XM_017009478.3,XM_047417181.1,XM_047417182.1,XM_047417190.1,XM_047417191.1,XM_047417192.1,XM_047417196.1,XM_047417202.1,XM_047417203.1,XM_047417204.1,XM_047417205.1,XM_047417206.1,XM_047417207.1,XM_047417208.1,XM_047417210.1,XM_047417211.1,XM_047417213.1,XM_047417214.1,XM_047417216.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr5:40840366:40842367:+:CARD6,CARD6;NM_032587.4,XM_017009989.2;mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr5:40840366:40842367:+:CARD6,CARD6;NM_032587.4,XM_017009989.2;mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr5:40840366:40842367:+:CARD6,CARD6;NM_032587.4,XM_017009989.2;mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr9:36399268:36401269:-:RNF38,RNF38,RNF38,RNF38;NM_022781.5,NM_194329.3,XM_047422797.1,XM_047422799.1;mRNA,mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr9:36399268:36401269:-:RNF38,RNF38,RNF38,RNF38;NM_022781.5,NM_194329.3,XM_047422797.1,XM_047422799.1;mRNA,mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr9:36399268:36401269:-:RNF38,RNF38,RNF38,RNF38;NM_022781.5,NM_194329.3,XM_047422797.1,XM_047422799.1;mRNA,mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr8:105492249:105494250:+:ZFPM2;XM_047421627.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr8:105492249:105494250:+:ZFPM2;XM_047421627.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr8:105492249:105494250:+:ZFPM2;XM_047421627.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr2:144181654:144183655:-:GTDC1;XM_047445845.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr2:144181654:144183655:-:GTDC1;XM_047445845.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr2:144181654:144183655:-:GTDC1;XM_047445845.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr2:165203049:165205050:-:SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A;NM_001081676.2,NM_001081677.2,NM_006922.4,XM_011511610.4,XM_017004660.3,XM_017004661.3,XM_017004662.3,XM_017004664.2,XM_017004665.2,XM_017004666.2,XM_047445394.1,XM_047445395.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr2:165203049:165205050:-:SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A;NM_001081676.2,NM_001081677.2,NM_006922.4,XM_011511610.4,XM_017004660.3,XM_017004661.3,XM_017004662.3,XM_017004664.2,XM_017004665.2,XM_017004666.2,XM_047445394.1,XM_047445395.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr2:165203049:165205050:-:SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A,SCN3A;NM_001081676.2,NM_001081677.2,NM_006922.4,XM_011511610.4,XM_017004660.3,XM_017004661.3,XM_017004662.3,XM_017004664.2,XM_017004665.2,XM_017004666.2,XM_047445394.1,XM_047445395.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr1:178868328:178870329:-:ANGPTL1;XM_047433711.1;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr1:178868328:178870329:-:ANGPTL1;XM_047433711.1;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr1:178868328:178870329:-:ANGPTL1;XM_047433711.1;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr3:97438606:97440607:+:EPHA6,EPHA6,EPHA6,EPHA6,EPHA6;NM_001278300.2,NM_173655.4,XM_017006215.2,XM_017006216.2,XM_017006217.2;mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr3:97438606:97440607:+:EPHA6,EPHA6,EPHA6,EPHA6,EPHA6;NM_001278300.2,NM_173655.4,XM_017006215.2,XM_017006216.2,XM_017006217.2;mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr3:97438606:97440607:+:EPHA6,EPHA6,EPHA6,EPHA6,EPHA6;NM_001278300.2,NM_173655.4,XM_017006215.2,XM_017006216.2,XM_017006217.2;mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr14:28765786:28767787:+:FOXG1;NM_005249.5;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr14:28765786:28767787:+:FOXG1;NM_005249.5;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr14:28765786:28767787:+:FOXG1;NM_005249.5;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr12:10452376:10454377:-:KLRC1,KLRC1;NM_002259.5,NM_007328.4;mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr12:10452376:10454377:-:KLRC1,KLRC1;NM_002259.5,NM_007328.4;mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr12:10452376:10454377:-:KLRC1,KLRC1;NM_002259.5,NM_007328.4;mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr12:21130193:21132194:+:SLCO1B1;NM_006446.5;mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
0	TSS coverage	chr12:21130193:21132194:+:SLCO1B1;NM_006446.5;mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
1	TSS coverage	chr12:21130193:21132194:+:SLCO1B1;NM_006446.5;mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
0	TSS coverage	chr6:49743387:49745388:-:CRISP3,CRISP3,CRISP3;NM_001190986.3,NM_001368123.1,NM_006061.4;mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
1	TSS coverage	chr6:49743387:49745388:-:CRISP3,CRISP3,CRISP3;NM_001190986.3,NM_001368123.1,NM_006061.4;mRNA,mRNA,mRNA:tss_coverage	dbPEC	"#A51C30"	"#339900"
0	TSS coverage	chr6:49743387:49745388:-:CRISP3,CRISP3,CRISP3;NM_001190986.3,NM_001368123.1,NM_006061.4;mRNA,mRNA,mRNA:tss_coverage	GeneCards	"#A51C30"	"orange"
1	TSS coverage	chr15:60396985:60398986:-:ANXA2,ANXA2,ANXA2,ANXA2,ANXA2,ANXA2,ANXA2,ANXA2,ANXA2,ANXA2,ANXA2,ANXA2;NM_001002857.2,NM_001002858.3,NM_001136015.3,NM_004039.3,XM_017022092.2,XM_047432401.1,XM_047432402.1,XM_047432403.1,XM_047432404.1,XM_047432405.1,XM_047432406.1,XM_047432407.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	cPE	"#A51C30"	"#003262"
