n	features	TSS	database	col1	col2
0	TSS coverage	chr1:145706399:145708400:-:PDZK1,PDZK1,PDZK1,PDZK1,PDZK1;NM_001201326.1,NM_002614.4,XM_047422527.1,XM_047422528.1,XM_047422529.1;mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr1:145706399:145708400:-:PDZK1,PDZK1,PDZK1,PDZK1,PDZK1;NM_001201326.1,NM_002614.4,XM_047422527.1,XM_047422528.1,XM_047422529.1;mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr13:101303155:101305156:-:NALCN;XM_017020537.2;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr13:101303155:101305156:-:NALCN;XM_017020537.2;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr13:101303155:101305156:-:NALCN;XM_017020537.2;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr7:30477783:30479784:-:NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1;NM_001354849.2,NM_006092.4,XM_005249568.2,XM_005249572.1,XM_006715633.3,XM_011515079.1,XM_011515083.2,XM_011515084.2,XM_011515085.2,XM_011515087.2,XM_011515088.3,XM_047419752.1,XM_047419753.1,XM_047419754.1,XM_047419755.1,XM_047419756.1,XM_047419757.1,XM_047419758.1,XM_047419759.1,XM_047419760.1,XM_047419761.1,XM_047419762.1,XM_047419763.1,XM_047419764.1,XM_047419765.1,XM_047419766.1,XM_047419767.1,XM_047419768.1,XM_047419769.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr7:30477783:30479784:-:NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1;NM_001354849.2,NM_006092.4,XM_005249568.2,XM_005249572.1,XM_006715633.3,XM_011515079.1,XM_011515083.2,XM_011515084.2,XM_011515085.2,XM_011515087.2,XM_011515088.3,XM_047419752.1,XM_047419753.1,XM_047419754.1,XM_047419755.1,XM_047419756.1,XM_047419757.1,XM_047419758.1,XM_047419759.1,XM_047419760.1,XM_047419761.1,XM_047419762.1,XM_047419763.1,XM_047419764.1,XM_047419765.1,XM_047419766.1,XM_047419767.1,XM_047419768.1,XM_047419769.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr7:30477783:30479784:-:NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1;NM_001354849.2,NM_006092.4,XM_005249568.2,XM_005249572.1,XM_006715633.3,XM_011515079.1,XM_011515083.2,XM_011515084.2,XM_011515085.2,XM_011515087.2,XM_011515088.3,XM_047419752.1,XM_047419753.1,XM_047419754.1,XM_047419755.1,XM_047419756.1,XM_047419757.1,XM_047419758.1,XM_047419759.1,XM_047419760.1,XM_047419761.1,XM_047419762.1,XM_047419763.1,XM_047419764.1,XM_047419765.1,XM_047419766.1,XM_047419767.1,XM_047419768.1,XM_047419769.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr16:219745:221746:-:LUC7L;XM_017023438.3;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr16:219745:221746:-:LUC7L;XM_017023438.3;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr16:219745:221746:-:LUC7L;XM_017023438.3;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr21:38255740:38257741:+:KCNJ15,KCNJ15,KCNJ15;NM_001276435.2,NM_001276436.2,NM_002243.5;mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr21:38255740:38257741:+:KCNJ15,KCNJ15,KCNJ15;NM_001276435.2,NM_001276436.2,NM_002243.5;mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr21:38255740:38257741:+:KCNJ15,KCNJ15,KCNJ15;NM_001276435.2,NM_001276436.2,NM_002243.5;mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr10:45381482:45383483:+:ALOX5;XM_047424937.1;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr10:45381482:45383483:+:ALOX5;XM_047424937.1;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr10:45381482:45383483:+:ALOX5;XM_047424937.1;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr10:125002714:125004715:-:CTBP2;XM_047424680.1;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr10:125002714:125004715:-:CTBP2;XM_047424680.1;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr10:125002714:125004715:-:CTBP2;XM_047424680.1;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr7:80637515:80639516:+:CD36,CD36,CD36;NM_000072.3,XM_005250715.6,XM_024447002.2;mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr7:80637515:80639516:+:CD36,CD36,CD36;NM_000072.3,XM_005250715.6,XM_024447002.2;mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr7:80637515:80639516:+:CD36,CD36,CD36;NM_000072.3,XM_005250715.6,XM_024447002.2;mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr10:73745995:73747996:+:SEC24C;XM_047426035.1;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr10:73745995:73747996:+:SEC24C;XM_047426035.1;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr10:73745995:73747996:+:SEC24C;XM_047426035.1;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr22:23856874:23858875:+:SLC2A11;NM_001024939.4;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr22:23856874:23858875:+:SLC2A11;NM_001024939.4;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr22:23856874:23858875:+:SLC2A11;NM_001024939.4;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr18:23648175:23650176:-:ANKRD29,ANKRD29,ANKRD29;XM_011525831.4,XM_011525832.4,XM_047437305.1;mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr18:23648175:23650176:-:ANKRD29,ANKRD29,ANKRD29;XM_011525831.4,XM_011525832.4,XM_047437305.1;mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr18:23648175:23650176:-:ANKRD29,ANKRD29,ANKRD29;XM_011525831.4,XM_011525832.4,XM_047437305.1;mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr3:9422118:9424119:+:SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5;XM_047448467.1,XM_047448469.1,XM_047448470.1,XM_047448472.1,XM_047448475.1,XM_047448484.1,XM_047448491.1,XM_047448493.1,XM_047448494.1,XM_047448498.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr3:9422118:9424119:+:SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5;XM_047448467.1,XM_047448469.1,XM_047448470.1,XM_047448472.1,XM_047448475.1,XM_047448484.1,XM_047448491.1,XM_047448493.1,XM_047448494.1,XM_047448498.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr3:9422118:9424119:+:SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5,SETD5;XM_047448467.1,XM_047448469.1,XM_047448470.1,XM_047448472.1,XM_047448475.1,XM_047448484.1,XM_047448491.1,XM_047448493.1,XM_047448494.1,XM_047448498.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr16:2929791:2931792:+:FLYWCH1;XM_047434788.1;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr16:2929791:2931792:+:FLYWCH1;XM_047434788.1;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr16:2929791:2931792:+:FLYWCH1;XM_047434788.1;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr11:66011007:66013008:+:CST6;NM_001323.4;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr11:66011007:66013008:+:CST6;NM_001323.4;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr11:66011007:66013008:+:CST6;NM_001323.4;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr19:35447256:35449257:+:FFAR2,FFAR2;NM_001370087.1,NM_005306.3;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr19:35447256:35449257:+:FFAR2,FFAR2;NM_001370087.1,NM_005306.3;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr19:35447256:35449257:+:FFAR2,FFAR2;NM_001370087.1,NM_005306.3;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr11:694638:696639:+:TMEM80,TMEM80;NM_001384408.1,NM_174940.4;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr11:694638:696639:+:TMEM80,TMEM80;NM_001384408.1,NM_174940.4;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr11:694638:696639:+:TMEM80,TMEM80;NM_001384408.1,NM_174940.4;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr6:87191377:87193378:+:ZNF292,ZNF292,ZNF292,ZNF292,ZNF292;XM_017010578.3,XM_017010584.3,XM_047418456.1,XM_047418457.1,XM_047418458.1;mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr6:87191377:87193378:+:ZNF292,ZNF292,ZNF292,ZNF292,ZNF292;XM_017010578.3,XM_017010584.3,XM_047418456.1,XM_047418457.1,XM_047418458.1;mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr6:87191377:87193378:+:ZNF292,ZNF292,ZNF292,ZNF292,ZNF292;XM_017010578.3,XM_017010584.3,XM_047418456.1,XM_047418457.1,XM_047418458.1;mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr9:126961224:126963225:+:RALGPS1,RALGPS1,RALGPS1,RALGPS1;NM_001190728.1,NM_001366401.1,XM_017015346.1,XM_047424149.1;mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr9:126961224:126963225:+:RALGPS1,RALGPS1,RALGPS1,RALGPS1;NM_001190728.1,NM_001366401.1,XM_017015346.1,XM_047424149.1;mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr9:126961224:126963225:+:RALGPS1,RALGPS1,RALGPS1,RALGPS1;NM_001190728.1,NM_001366401.1,XM_017015346.1,XM_047424149.1;mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr4:181631639:181633640:+:TENM3;XM_047415933.1;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr4:181631639:181633640:+:TENM3;XM_047415933.1;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr4:181631639:181633640:+:TENM3;XM_047415933.1;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr7:42181614:42183615:-:GLI3;XM_017011997.2;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr7:42181614:42183615:-:GLI3;XM_017011997.2;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr7:42181614:42183615:-:GLI3;XM_017011997.2;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr4:38845121:38847122:-:TLR6;XM_005262637.6;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr4:38845121:38847122:-:TLR6;XM_005262637.6;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr4:38845121:38847122:-:TLR6;XM_005262637.6;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr1:225652122:225654123:-:ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH;NM_001008493.3,NM_001377481.1,NM_001377482.1,NM_001377483.1,NM_018212.6,XM_024448310.2,XM_024448311.2,XM_024448315.2,XM_047424914.1,XM_047424925.1,XM_047424940.1,XM_047424958.1,XM_047424960.1,XM_047424965.1,XM_047424969.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr1:225652122:225654123:-:ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH;NM_001008493.3,NM_001377481.1,NM_001377482.1,NM_001377483.1,NM_018212.6,XM_024448310.2,XM_024448311.2,XM_024448315.2,XM_047424914.1,XM_047424925.1,XM_047424940.1,XM_047424958.1,XM_047424960.1,XM_047424965.1,XM_047424969.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr1:225652122:225654123:-:ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH,ENAH;NM_001008493.3,NM_001377481.1,NM_001377482.1,NM_001377483.1,NM_018212.6,XM_024448310.2,XM_024448311.2,XM_024448315.2,XM_047424914.1,XM_047424925.1,XM_047424940.1,XM_047424958.1,XM_047424960.1,XM_047424965.1,XM_047424969.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr19:51760179:51762180:+:FPR2,FPR2;NM_001005738.2,XM_006723120.4;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr19:51760179:51762180:+:FPR2,FPR2;NM_001005738.2,XM_006723120.4;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr19:51760179:51762180:+:FPR2,FPR2;NM_001005738.2,XM_006723120.4;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr7:99560887:99562888:+:ZNF655,ZNF655;XM_047420828.1,XM_047420829.1;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr7:99560887:99562888:+:ZNF655,ZNF655;XM_047420828.1,XM_047420829.1;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr7:99560887:99562888:+:ZNF655,ZNF655;XM_047420828.1,XM_047420829.1;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr1:22642632:22644633:+:C1QC,C1QC,C1QC,C1QC;NM_001114101.3,NM_001347619.2,NM_001347620.2,NM_172369.5;mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr1:22642632:22644633:+:C1QC,C1QC,C1QC,C1QC;NM_001114101.3,NM_001347619.2,NM_001347620.2,NM_172369.5;mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr1:22642632:22644633:+:C1QC,C1QC,C1QC,C1QC;NM_001114101.3,NM_001347619.2,NM_001347620.2,NM_172369.5;mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr17:80177507:80179508:+:CARD14,CARD14,CARD14,CARD14,CARD14,CARD14,CARD14,CARD14;NM_001257970.1,NM_024110.4,XM_047436716.1,XM_047436718.1,XM_047436720.1,XM_047436721.1,XM_047436722.1,XM_047436723.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr17:80177507:80179508:+:CARD14,CARD14,CARD14,CARD14,CARD14,CARD14,CARD14,CARD14;NM_001257970.1,NM_024110.4,XM_047436716.1,XM_047436718.1,XM_047436720.1,XM_047436721.1,XM_047436722.1,XM_047436723.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr17:80177507:80179508:+:CARD14,CARD14,CARD14,CARD14,CARD14,CARD14,CARD14,CARD14;NM_001257970.1,NM_024110.4,XM_047436716.1,XM_047436718.1,XM_047436720.1,XM_047436721.1,XM_047436722.1,XM_047436723.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr14:103457731:103459732:+:MARK3;XM_047431396.1;mRNA:gini	cPE	"#996666"	"#003262"
