n	features	TSS	database	col1	col2
0	TSS coverage	chr5:141429506:141431507:+:PCDHGA12,PCDHGA12;NM_003735.3,NM_032094.2;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr10:13160557:13162558:+:MCM10,MCM10,MCM10,MCM10;NM_018518.5,NM_182751.3,XM_011519538.3,XM_047425437.1;mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr10:13160557:13162558:+:MCM10,MCM10,MCM10,MCM10;NM_018518.5,NM_182751.3,XM_011519538.3,XM_047425437.1;mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr10:13160557:13162558:+:MCM10,MCM10,MCM10,MCM10;NM_018518.5,NM_182751.3,XM_011519538.3,XM_047425437.1;mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr9:99104112:99106113:+:TGFBR1,TGFBR1,TGFBR1;NM_001130916.3,NM_001306210.2,NM_004612.4;mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr9:99104112:99106113:+:TGFBR1,TGFBR1,TGFBR1;NM_001130916.3,NM_001306210.2,NM_004612.4;mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr9:99104112:99106113:+:TGFBR1,TGFBR1,TGFBR1;NM_001130916.3,NM_001306210.2,NM_004612.4;mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr21:38228925:38230926:+:KCNJ15,KCNJ15,KCNJ15;NM_001276437.2,NM_001276438.2,NM_001276439.2;mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr21:38228925:38230926:+:KCNJ15,KCNJ15,KCNJ15;NM_001276437.2,NM_001276438.2,NM_001276439.2;mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr21:38228925:38230926:+:KCNJ15,KCNJ15,KCNJ15;NM_001276437.2,NM_001276438.2,NM_001276439.2;mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr16:85901829:85903830:+:IRF8;NM_001363907.1;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr16:85901829:85903830:+:IRF8;NM_001363907.1;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr16:85901829:85903830:+:IRF8;NM_001363907.1;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr8:22564988:22566989:+:SORBS3,SORBS3;XM_017012945.2,XM_017012946.2;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr8:22564988:22566989:+:SORBS3,SORBS3;XM_017012945.2,XM_017012946.2;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr8:22564988:22566989:+:SORBS3,SORBS3;XM_017012945.2,XM_017012946.2;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr19:40471732:40473733:+:SPTBN4;XM_017027050.2;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr19:40471732:40473733:+:SPTBN4;XM_017027050.2;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr19:40471732:40473733:+:SPTBN4;XM_017027050.2;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr1:11801968:11803969:-:MTHFR;XM_005263463.5;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr1:11801968:11803969:-:MTHFR;XM_005263463.5;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr1:11801968:11803969:-:MTHFR;XM_005263463.5;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr1:37844891:37846892:-:MTF1;XM_047421173.1;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr1:37844891:37846892:-:MTF1;XM_047421173.1;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr1:37844891:37846892:-:MTF1;XM_047421173.1;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr7:100167616:100169617:-:GAL3ST4;NM_024637.5;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr7:100167616:100169617:-:GAL3ST4;NM_024637.5;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr7:100167616:100169617:-:GAL3ST4;NM_024637.5;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr7:97731085:97733086:+:TAC1,TAC1,TAC1,TAC1;NM_003182.3,NM_013996.3,NM_013997.3,NM_013998.3;mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr7:97731085:97733086:+:TAC1,TAC1,TAC1,TAC1;NM_003182.3,NM_013996.3,NM_013997.3,NM_013998.3;mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr7:97731085:97733086:+:TAC1,TAC1,TAC1,TAC1;NM_003182.3,NM_013996.3,NM_013997.3,NM_013998.3;mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr3:122975133:122977134:-:SEMA5B;NM_001256347.1;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr3:122975133:122977134:-:SEMA5B;NM_001256347.1;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr3:122975133:122977134:-:SEMA5B;NM_001256347.1;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr11:67265472:67267473:+:GRK2;NM_001619.5;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr11:67265472:67267473:+:GRK2;NM_001619.5;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr11:67265472:67267473:+:GRK2;NM_001619.5;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr13:108268628:108270629:+:TNFSF13B,TNFSF13B;NM_001145645.2,XM_047430055.1;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr13:108268628:108270629:+:TNFSF13B,TNFSF13B;NM_001145645.2,XM_047430055.1;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr13:108268628:108270629:+:TNFSF13B,TNFSF13B;NM_001145645.2,XM_047430055.1;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr1:150329451:150331452:+:PRPF3;XM_011510130.4;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr1:150329451:150331452:+:PRPF3;XM_011510130.4;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr1:150329451:150331452:+:PRPF3;XM_011510130.4;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr1:45811448:45813449:+:MAST2,MAST2,MAST2,MAST2;XM_047450105.1,XM_047450121.1,XM_047450123.1,XM_047450129.1;mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr1:45811448:45813449:+:MAST2,MAST2,MAST2,MAST2;XM_047450105.1,XM_047450121.1,XM_047450123.1,XM_047450129.1;mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr1:45811448:45813449:+:MAST2,MAST2,MAST2,MAST2;XM_047450105.1,XM_047450121.1,XM_047450123.1,XM_047450129.1;mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr8:1875560:1877561:+:ARHGEF10;XM_047422462.1;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr8:1875560:1877561:+:ARHGEF10;XM_047422462.1;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr8:1875560:1877561:+:ARHGEF10;XM_047422462.1;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr4:105144874:105146875:+:TET2,TET2;NM_017628.4,XM_024454103.2;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr4:105144874:105146875:+:TET2,TET2;NM_017628.4,XM_024454103.2;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr4:105144874:105146875:+:TET2,TET2;NM_017628.4,XM_024454103.2;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr7:40133621:40135622:-:MPLKIP;NM_138701.4;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr7:40133621:40135622:-:MPLKIP;NM_138701.4;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr7:40133621:40135622:-:MPLKIP;NM_138701.4;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr1:108696560:108698561:+:PRPF38B;XM_047423900.1;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr1:108696560:108698561:+:PRPF38B;XM_047423900.1;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr1:108696560:108698561:+:PRPF38B;XM_047423900.1;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr3:173407932:173409933:+:NLGN1;XM_017005895.3;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr3:173407932:173409933:+:NLGN1;XM_017005895.3;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr3:173407932:173409933:+:NLGN1;XM_017005895.3;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr10:74355291:74357292:+:ADK;XM_017015699.2;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr10:74355291:74357292:+:ADK;XM_017015699.2;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr10:74355291:74357292:+:ADK;XM_017015699.2;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr11:130001834:130003835:-:PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10;NM_001367890.1,NM_001367891.1,NM_001367892.1,NM_001367893.1,NM_001367894.1,NM_020228.3,NM_199437.2,XM_011542912.3,XM_047427311.1,XM_047427312.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr11:130001834:130003835:-:PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10;NM_001367890.1,NM_001367891.1,NM_001367892.1,NM_001367893.1,NM_001367894.1,NM_020228.3,NM_199437.2,XM_011542912.3,XM_047427311.1,XM_047427312.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr11:130001834:130003835:-:PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10,PRDM10;NM_001367890.1,NM_001367891.1,NM_001367892.1,NM_001367893.1,NM_001367894.1,NM_020228.3,NM_199437.2,XM_011542912.3,XM_047427311.1,XM_047427312.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr3:185688219:185690220:-:IGF2BP2;XM_006713477.5;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr3:185688219:185690220:-:IGF2BP2;XM_006713477.5;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr3:185688219:185690220:-:IGF2BP2;XM_006713477.5;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr6:63571479:63573480:+:PTP4A1,PTP4A1,PTP4A1,PTP4A1,PTP4A1,PTP4A1,PTP4A1;NM_001385262.2,NM_001385263.2,NM_001385265.1,NM_001385266.1,NM_001385267.2,NM_001385268.2,NM_003463.5;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr6:63571479:63573480:+:PTP4A1,PTP4A1,PTP4A1,PTP4A1,PTP4A1,PTP4A1,PTP4A1;NM_001385262.2,NM_001385263.2,NM_001385265.1,NM_001385266.1,NM_001385267.2,NM_001385268.2,NM_003463.5;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr6:63571479:63573480:+:PTP4A1,PTP4A1,PTP4A1,PTP4A1,PTP4A1,PTP4A1,PTP4A1;NM_001385262.2,NM_001385263.2,NM_001385265.1,NM_001385266.1,NM_001385267.2,NM_001385268.2,NM_003463.5;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr8:47996436:47998437:+:UBE2V2;XM_017013808.3;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr8:47996436:47998437:+:UBE2V2;XM_017013808.3;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr8:47996436:47998437:+:UBE2V2;XM_017013808.3;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr2:200810588:200812589:+:BZW1;NM_001321690.1;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr2:200810588:200812589:+:BZW1;NM_001321690.1;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr2:200810588:200812589:+:BZW1;NM_001321690.1;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr7:13987882:13989883:-:ETV1,ETV1,ETV1;XM_011515167.4,XM_011515170.4,XM_024446676.2;mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr7:13987882:13989883:-:ETV1,ETV1,ETV1;XM_011515167.4,XM_011515170.4,XM_024446676.2;mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr7:13987882:13989883:-:ETV1,ETV1,ETV1;XM_011515167.4,XM_011515170.4,XM_024446676.2;mRNA,mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr12:10452376:10454377:-:KLRC1,KLRC1;NM_002259.5,NM_007328.4;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr12:10452376:10454377:-:KLRC1,KLRC1;NM_002259.5,NM_007328.4;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr12:10452376:10454377:-:KLRC1,KLRC1;NM_002259.5,NM_007328.4;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr3:142028179:142030180:-:TFDP2,TFDP2;NM_001375774.1,XM_047448776.1;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr3:142028179:142030180:-:TFDP2,TFDP2;NM_001375774.1,XM_047448776.1;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr3:142028179:142030180:-:TFDP2,TFDP2;NM_001375774.1,XM_047448776.1;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr13:108268717:108270718:+:TNFSF13B;NM_006573.5;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr13:108268717:108270718:+:TNFSF13B;NM_006573.5;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr13:108268717:108270718:+:TNFSF13B;NM_006573.5;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr1:192808038:192810039:+:RGS2;NM_002923.4;mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr1:192808038:192810039:+:RGS2;NM_002923.4;mRNA:gini	dbPEC	"#996666"	"#339900"
1	TSS coverage	chr1:192808038:192810039:+:RGS2;NM_002923.4;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr3:48942079:48944080:+:ARIH2;XM_017005535.2;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr3:48942079:48944080:+:ARIH2;XM_017005535.2;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr3:48942079:48944080:+:ARIH2;XM_017005535.2;mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr6:111758080:111760081:-:FYN,FYN;NM_153048.4,XM_017010653.2;mRNA,mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr6:111758080:111760081:-:FYN,FYN;NM_153048.4,XM_017010653.2;mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr6:111758080:111760081:-:FYN,FYN;NM_153048.4,XM_017010653.2;mRNA,mRNA:gini	GeneCards	"#996666"	"orange"
1	Gini	chr5:122774079:122776080:+:SNX2;NM_003100.4;mRNA:gini	cPE	"#996666"	"#003262"
0	TSS coverage	chr5:122774079:122776080:+:SNX2;NM_003100.4;mRNA:gini	dbPEC	"#996666"	"#339900"
0	TSS coverage	chr5:122774079:122776080:+:SNX2;NM_003100.4;mRNA:gini	GeneCards	"#996666"	"orange"
0	Gini	chr7:30477783:30479784:-:NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1;NM_001354849.2,NM_006092.4,XM_005249568.2,XM_005249572.1,XM_006715633.3,XM_011515079.1,XM_011515083.2,XM_011515084.2,XM_011515085.2,XM_011515087.2,XM_011515088.3,XM_047419752.1,XM_047419753.1,XM_047419754.1,XM_047419755.1,XM_047419756.1,XM_047419757.1,XM_047419758.1,XM_047419759.1,XM_047419760.1,XM_047419761.1,XM_047419762.1,XM_047419763.1,XM_047419764.1,XM_047419765.1,XM_047419766.1,XM_047419767.1,XM_047419768.1,XM_047419769.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	cPE	"#996666"	"#003262"
1	TSS coverage	chr7:30477783:30479784:-:NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1,NOD1;NM_001354849.2,NM_006092.4,XM_005249568.2,XM_005249572.1,XM_006715633.3,XM_011515079.1,XM_011515083.2,XM_011515084.2,XM_011515085.2,XM_011515087.2,XM_011515088.3,XM_047419752.1,XM_047419753.1,XM_047419754.1,XM_047419755.1,XM_047419756.1,XM_047419757.1,XM_047419758.1,XM_047419759.1,XM_047419760.1,XM_047419761.1,XM_047419762.1,XM_047419763.1,XM_047419764.1,XM_047419765.1,XM_047419766.1,XM_047419767.1,XM_047419768.1,XM_047419769.1;mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA:gini	dbPEC	"#996666"	"#339900"
